id,"nickname","text","country","feeling",place_id,"created_at","updated_at"
45,"ลียบแม่น้ำต่อ","ออกจากวัดเซนโซจิตรงอาซากุสะ เดินมาเรื่อยเรื่อยจนถึงสะพานสีแดงจะเจอตึกอาซาฮี ที่คนญี่ปุ่นเรียกว่าอุนจิสีทอง คนจะถ่ายรูปกันแถวสะพานนี้เยอะมาก จากตึกอาซาฮีนี้เดินเลียบแม่น้ำต่อสักพักใหญ่ จะเจอตึกโตเกียวสกายทรีชั้นล่างเป็นห้างสรรพสินค้า ต้องต่อคิวเพื่อซื้อตั๋วขึ้นไปดูข้างบน มีลิฟท์สี่ตัวตั้งชื่อตามฤดูกาล4ฤดู ข้างบนมีวิวสวยมากจะมองเห็นทิวทัศน์รอบโตเกียวทั้งหมด คนเยอะมากถ้าไปวัดเซนโซจิ น่าจะเลยไปเยี่ยมชมให้ได้สักครั้งหนึ่ง","Thailand","bad",11,"2019-06-19 08:13:22","2019-06-19 08:13:22"
46,"ソラカラちゃん","スカイツリーのライトアップは3種類あるよ！確か！","Japan","good",11,"2019-06-19 08:14:44","2019-06-19 08:14:44"
47,"最高日本","即使你决定不去那座塔，我认为这里还是值得参观的，因为它有四五层楼，有商店和餐馆。这里有一些很酷的多种特许经营店(宠物小精灵, 卡比, 吉卜力等)。一定要有足够的时间来这里逛逛。","China","good",11,"2019-06-19 08:15:38","2019-06-19 08:15:38"
48,"江戸っ子タクちゃん","スカイツリーとセットで周ると吉！","Japan","good",12,"2019-06-19 08:17:01","2019-06-19 08:17:01"
49,"林 历史","都浅草一定去的地方，一座历史悠久的寺，十分多日本和外国游客参观，在雷门的大门口外有拉人力车的车夫，像香港一样接载游客观光。连接着浅草寺的「仲见世」两旁有很多纪念品及手信买。","Hongkong","omotenashi",12,"2019-06-19 08:18:09","2019-06-19 08:18:09"
50,"hayashi","test","malaysia","good",28,"2019-06-20 01:22:33","2019-06-20 01:22:33"
51,"清水好子","愛してる！！","Japan","good",2,"2019-06-20 02:09:00","2019-06-20 02:09:00"
52,"清水好子","愛してる！！","Japan","good",2,"2019-06-20 02:10:33","2019-06-20 02:10:33"
55,"","","Japan","good",5,"2019-06-20 07:14:25","2019-06-20 07:14:25"
56,"","","Japan","good",5,"2019-06-20 07:14:25","2019-06-20 07:14:25"
57,"テストたまこ","まじふぉあっふぉあ！！！！","Japan","good",26,"2019-06-21 01:33:20","2019-06-21 01:33:20"
58,"KateChow","这非常适合初级玩家，一条长并且坡道和缓的滑道，另一个稍陡而且更长一点的适合更有经验的初级玩家;两天滑道都是绿道。这里没有比罗夫那么拥挤。如果你有一辆车，建议来这里。我更有经验已经滑红道的朋友也非常喜欢这里。你可以按照小时或者点数购买通行证。他们卖4点数的通行证，1点数是为稍简单的绿道玩家提供的梦想升降椅,2点数的是泡泡升降椅，这是为滑道更陡一点的绿道玩家和红道玩家准备的（通过岔道分开），我们这周很早就去了，真是太棒了！","Taiwan","good",26,"2019-06-21 01:35:33","2019-06-21 01:35:33"
59,"中国人アルヨ","这是一个滑雪或学习滑雪的好地方。雪太美了。","China","good",26,"2019-06-21 01:36:57","2019-06-21 01:36:57"
60,"MachekeChief","We had a good deal of fun on these slopes - spent all of our last day here and covers a variety of skiing/boarding skills.. For the more advanced, there are multiple black slopes and gates to take you through the more adventurous paths, where some deep powder, half pipes and frozen riverines make for an enjoyable experience.. a particular favorite is G8.. otherwise the reds and greens are nice and wide allowing you the space to practice and try new things with trees on the side to test reactions if you want to go through them.. you can grab a feed and drink at a small hut in the middle of the slope which is good for a half time break but better to get lunch at the food court at the bottom - more choice, space and is cheaper as well","Australia","omotenashi",26,"2019-06-21 01:40:35","2019-06-21 01:40:35"
61,"テストたまこ","エレベータガールの制服が新しくなりました。ただただ最高です。","Japan","omotenashi",10,"2019-06-21 01:42:32","2019-06-21 01:42:32"
62,"テストたまこ","年間パスポート再販して下さい。なんでやめちゃったんですかおこ。","Japan","bad",10,"2019-06-21 01:43:12","2019-06-21 01:43:12"
63,"FitnesswithLisa","We arrived by daylight and had a top deck time for 18.45, so saw the sun go down. Amazing views and fabulous, efficient service. When we left we was able to view the Tower lit up too. We didn’t bother with the lower deck on our decent as we’d had such amazing views higher.","England","good",10,"2019-06-21 01:45:52","2019-06-21 01:45:52"
64,"funguswanderlust","We waited for the skies to clear and was there at about 3pm. There was no queue and it was a breeze getting the tickets and going up. Recommend to just get the full ticket. Was apprehensive given the price, but its all worth it. The whole experience was just very pleasant. We were provided with an audio guide (Eng) and there was commentary for every area from going up the elevators to special rooms of the founders and engineer. The downside was probably the live Japanese commentary that kind of was disrupting as we were listening to the audio guide in one ear. There were 2 observation areas on top after we came out of the elevator. The view at the top one was really different. What I enjoyed most was actually the audio guide that also had a screen that showed the different buildings that we were looking at, for the different directions. This visual aid with audio was definitely useful in identifying buildings and made the whole experience slightly more interactive and I learnt a lot through the commentary; informative. It was also easy to locate mount fuji with the screen and audio. 
There was photo taken but they were nice to give a postcard version with a small version of our photo in a small square on the postcard. You could of course choose to buy the bigger one. They also provided a kind of welcome drink when we reached the top deck. 
Overall, I liked the experience. It felt complete and it was pleasant with the moderate crowd.","Singapore","omotenashi",10,"2019-06-21 01:49:30","2019-06-21 01:49:30"
65,"WeiFanH","自从押上的晴空塔建好之后，东京的天际线焦点从东京铁塔转移至晴空塔，但说实在的东京铁塔在我心中还是第一，其铁塔的经典造型，弘伟的外观，且周边的芝公园、增上寺也都全不胜收，实在是值得一去的景点","Taiwan","good",10,"2019-06-21 01:51:35","2019-06-21 01:51:35"
66,"テストたまこ","ゴリライケメンすぎ〜〜〜〜〜","Japan","good",22,"2019-06-21 02:15:39","2019-06-21 02:15:39"
67,"テストたまこ","シャバーニ様","Japan","good",22,"2019-06-21 02:16:04","2019-06-21 02:16:04"
68,"731pinkyc","清水寺应该是京都指标性的景点之一。门票非常值得，先参访过历史风味的清水寺之后，可以到后方的地主神社参拜，上面有着跟姻缘相关的神明还有恋人石头。离开之前还可以到音羽瀑布借由饮入一瓢泉水得到学业、恋爱、或是健康有帮助的能量。不过因为清水寺地处山上，需要爬坡一阵子才能到达，公车只能到山脚下，而且沿路非常热闹(有点壅挤)。","Taiwan","good",2,"2019-06-21 02:17:32","2019-06-21 02:17:32"
69,"Lumcrow","京都必来景点,虽然外观是整修中, 但是外观照片在网路上看了不知多少张,没差我这一张, 整修中照片就不多了吧. 我来的时候全部是围起来的, 在历史长河中, 全部围起来的时间应该是非常难得. 人生也是如此. 难得一见的景观也是有福份才能遇见.","China","bad",2,"2019-06-21 02:18:52","2019-06-21 02:18:52"
70,"irispoyi","人超多⋯⋯⋯⋯很多人在穿和服自拍，把路都塞住了～不太好走呢！甚么都能买到，不过价格较贵⋯⋯⋯ 去一次就够了！","Hongkong","bad",2,"2019-06-21 02:19:53","2019-06-21 02:19:53"
71,"テストたまこ","SHIN・SEKAI","Japan","good",17,"2019-06-21 02:20:47","2019-06-21 02:20:47"
72,"中国人アルヨ","看多了这里的照片，总想来看看实际是不是真的这样魔幻。几次到大阪，这次终于有机会来逛逛这个地标性建筑。下午来这里的，并不是饭点，因此并没有在这里的餐馆用餐。近距离观看这一片的商家和招牌，配上不远处的通天阁，真是令人印象深刻的地标，每一个都极具个性，参合在一起却依然很和谐。这个小小的十字路口永远挤满了拍照的游人，而且男生们好像特别喜欢在这里合影。","China","good",17,"2019-06-21 02:27:02","2019-06-21 02:27:02"
73,"TheOlliYouNeed","Shinsekai is bursting with colors and just odd displays. It's a small area with so much to see and a lot of people come in and out of every store and restaurant. I went there in the afternoon and it was packed with so many people moving up and down the streets, both locals and tourists. It was a good area to take photos but beware of a few tourist trap stores. They sell really cute and unique looking snacks and other souvenirs which you can get for cheap at less dense shopping streets or even 100 yen stores.","Philippine","good",17,"2019-06-21 02:27:53","2019-06-21 02:27:53"
74,"zen1288","This famous outlet with endless tourists occupancy is always FULL and requires advance bookings but at times if you’re lucky due to last minute cancellation you can get a seat at the door. It is located just after Shinsaibashi bridge just next to Dotombori with a really big 3DSnow Crab insignia outside the restaurant which you cannot miss.
Take your number at the reception and you will be ushered up the elevator to your respective floor and be served to a typical tatami style seating to do your order.
They serve ala Carte as well as set meal consisting mainly kani dishes and some set come with porridge at the end of the meal after you have cooked your raw seafood into a steamboat style cooker and served with coffee or tea .
Honestly I think it is a over rated restaurant and not value for money deal but if you’re new here perhaps worth a try","malaysia","good",13,"2019-06-21 02:37:19","2019-06-21 02:37:19"
75,"angeliaw271","The place gets crowded and livelier in the night. Lots of eateries, restaurants, drugstores. You can find the Ramen chain-Ichiran here. Husband tried the charcoal grilled crab and gave it a thumbs up.","America","good",13,"2019-06-21 02:42:36","2019-06-21 02:42:36"
76,"ahmlaw","It is really nothing more than a large lit crab billboard, but since it is one of the most recognizable landmarks in Donburi, every tourist has to have a photo of it. It is nothing spectacular; just a recognizable landmark. See it once, and that's it.","Philippine","bad",13,"2019-06-21 02:48:37","2019-06-21 02:48:37"
77,"Tiffany C","大家都来朝圣哈利波特了，处处都好多人啊，来到霍格华兹城堡，里面的道具设计，城堡设计，就像是真的来到电影那的场景一样得栩栩如生，没看过电影的出发前得先复习一下电影内容，来到这里会很有感觉喔","China","good",14,"2019-06-21 02:59:52","2019-06-21 02:59:52"
78,"台湾人アルヨ","大阪环球影城虽然比不上奥兰多环球影城。但是内部设施和员工的表演以及服务都是很棒的。尤其是水世界的表演人员，在这样的比较寒冷的天气里一直为大家认真的表演，给大家带来了一场声光电的完美演绎。另外提醒大家，如果想玩的尽兴。建议购买express。如果有条件还可以买早入场的票。绿色的那种","Taiwan","good",14,"2019-06-21 03:01:20","2019-06-21 03:01:20"
79,"AriEsideTRack3d","We did two days. Which we needed in order to do all the rides. Our days were Tuesday and Wednesday. It was double the crowds on Wednesday. We also bought the cool Japan express 4 and let me say it was worth it. The 5Th Anniversary rides, including Lupin which never dropped below 130 minutes, were all super busy and some of the best experiences. All the express passes sold out by the time the park opened, getting there early is highly recommended to get any. The Water World show was rather entertaining with it's explosions and water stunts. As for the food, it was decent for theme park food. Chocolate lovers will enjoy Fluffy found by the Minions area. It would have been nice to be able to leave the park to eat at City Walk for lunch especially since some restaurants inside were closed. Otherwise the rides were all fun, the park is well maintained and has a gorgeous ambiance. All the staff was cheerful and engaging. The WWoHP was less crowded at the end of the day. The light show on Hogwarts was totally spectacular way to close out. We were not disappointed.","America","omotenashi",14,"2019-06-21 03:12:12","2019-06-21 03:12:12"
80,"テストたまこ","ハリッポッタッ！","Japan","good",14,"2019-06-21 03:12:49","2019-06-21 03:12:49"
81,"岡本太郎","わいの作品じゃん","Japan","good",16,"2019-06-21 03:20:42","2019-06-21 03:20:42"
82,"GregoryTan_SG","Best to go is with children or for nature lovers. One of the beautiful park that I have visited and worth going . They have many theme section like tulip Garden, rose garden, tea section and various children activities section for you to enjoy the whole day.","Singapore","good",16,"2019-06-21 03:22:22","2019-06-21 03:22:22"
83,"mad","This place is a great tourist spot. They teach you a good amount of history on the place. The way they defended their base and a ton more. They have a cafe where many people go and take a break. My family and I shared yakitori. I also personally had a strawberry ice cream. This place is a good place to take a bunch of pictures!!!","Australia","good",15,"2019-06-21 03:23:49","2019-06-21 03:23:49"
84,"Shanelle S","Can you say you’ve really been to Osaka if you haven’t been to the Osaka Castle? I’d argue no. It’s 600 yen for admission and admission is free if you have the Osaka Amazing Pass. You can buy tickets at the vending machine and to bypass the long line to take the elevator up, just take the stairs all the way to the top where’s there’s the observation deck, then work your way down. Go left on each floor to go with the flow of foot traffic. On the second level there are bathrooms and a place to take pics with samurai gear (for a fee). The exhibits delve into the history of Osaka Castle and is available in English. The view from the top is super pretty and I would recommend coming in the morning to beat the crowds. It’ll still be busy but there were more and more people as the day went on. It’s easy to get to via the metro - exit at Osaka Business Center and walk through Osaka Park to get to the Castle. It’s slightly uphill but there are ramps to utilize for any guests with disabilities. Overall highly suggested when you’re in Osaka to appreciate some history and also bask in some great views.","America","good",15,"2019-06-21 03:24:35","2019-06-21 03:24:35"
85,"中国人アルヨ","sakana・sakana・sakana〜〜♪","China","good",18,"2019-06-21 03:25:36","2019-06-21 03:25:36"
86,"テストたまこ","紅葉の時期がおすすめ","Japan","good",4,"2019-06-21 03:31:37","2019-06-21 03:31:37"
87,"テストたまこ","Senbon-Torii sugoi","Hongkong","good",6,"2019-06-21 03:32:19","2019-06-21 03:32:19"
88,"テストたまこ","さっぽろ雪まつりしゅごい","Japan","good",25,"2019-06-21 03:48:32","2019-06-21 03:48:32"
89,"テストたまこ","スープカレー！ラーメン！ビール！チーズ！ジンギスカン！","Japan","omotenashi",25,"2019-06-21 03:49:21","2019-06-21 03:49:21"
90,"テストたまこ","ペンギンとお散歩できるよ","Japan","good",27,"2019-06-21 03:49:56","2019-06-21 03:49:56"
91,"AlienKaren","Absolutely a stunning view of the city, watching the sun goes down and seeing the lights turn on for the city. Truly a million dollar view. However you will have to prepare spending an hour waiting there if you want to skip the queue and be there early. Or spending 15-30 mins in the queue for the ropeway, and miss the sunset and just go there for the night view. One way or other, it is worthwhile. 
What I am more impressed is the staff Mr Kudo Yuji at the souvenir shop just one floor below the observatory floor. As my hubby’s backpack was ripped (a rather old backpack) and he went to the cashier counter for help. Me Kudo Yuji first helped him to close the opening with a stapler (smart and quick move), and he helped to find a couple of safety pins to make sure nothing will slip out from the bag. There were hundreds of people in the souvenir shop, and many people in the queue, but still he took his time to help us. We are so impressed with his hospitality.","malaysia","good",30,"2019-06-21 03:51:27","2019-06-21 03:51:27"
92,"edwardkcs2000","函馆山的百万夜景，一见难忘，是少有景色优美，但又身心感到宁静舒畅的景观。这个出色的景点很多人，山上很当风，注意着凉。","China","good",30,"2019-06-21 03:52:40","2019-06-21 03:52:40"
93,"テストたまこ","100万ドルやねん！！！！","Japan","omotenashi",30,"2019-06-21 03:53:05","2019-06-21 03:53:05"
94,"テストたまこ","可愛いアルコールランプ買ったよ","Japan","omotenashi",28,"2019-06-21 03:53:40","2019-06-21 03:53:40"
95,"テストたまこ","北の国へ","Japan","good",29,"2019-06-21 03:55:28","2019-06-21 03:55:28"
96,"中国人アルヨ","超大的农场~规划的很好~刚刚好遇上薰衣草盛开的季节~空气中弥漫的薰衣草的花香~品尝冰凉香甜的哈密瓜~漫步于花田中~","China","good",29,"2019-06-21 03:57:22","2019-06-21 03:57:22"
97,"中国人アルヨ","许多商店出售纪念品。商店之间的价格非常相似，但也有其他商店，如Calibee和冰淇淋店，我在其他地方没有看到。但别忘了这条小路上有很多更有趣的东西。","China","good",31,"2019-06-21 05:24:30","2019-06-21 05:24:30"
98,"テストたまこ","映える","Japan","good",32,"2019-06-21 05:37:08","2019-06-21 05:37:08"
99,"中国人アルヨ","这是一个花一整天去购物、吃饭、喝酒的好地方。从这里可以步行到日落海滩，那边有很多停车位。从58号和23号高速公路上可以轻松到达景点，只要看看巨大的摩天轮就知道了。免费的wifi接入是一个加分。","China","good",32,"2019-06-21 05:39:07","2019-06-21 05:39:07"
100,"中国人アルヨ","总体感觉干净且井然有序，路线有趣层次丰富。参加的首里城的整点日文导游，解说很风趣。解说了当时王宫生活和信仰，也去到了19年新开放的王宫生活区域。首里城很有岛国风情，居高临下风景无两。还可以自行下载app解说，非常推荐，是以琉球岛国命运的故事线来解说。战争时被彻底摧毁却以更美的姿态重生，少有复原后依然让人如此感动的景点吧。","China","omotenashi",36,"2019-06-21 05:40:26","2019-06-21 05:40:26"
101,"Brad_Herbert","We enjoyed our visit to Shuri castle. Having been to quite a few castles in Japan, it was interesting to see the differences in style here and the use of colour (red predominantly). 

The walking route is well signposted and important areas are explained in English which is helpful. Views from the castle ramparts are
also impressive. At around ¥800, Shurijo is not to be missed when visiting Naha.","England","good",36,"2019-06-21 05:41:22","2019-06-21 05:41:22"
102,"女子大生子","映えます！！！映える！！！","Japan","good",35,"2019-06-21 05:42:21","2019-06-21 05:42:21"
103,"Paquita74","Everybody should dive into the blue cave once in their life. This is an amazing show of the nature power, the same one who created us and the all universe. 
I went for a snorkeling as I wasn’t feeling to fit for diving that day, has been an amazing experience! 
When I will go back I will definitively go for a dive, but snorkeling was also awesome! 
Go! Don’t miss it!","England","good",35,"2019-06-21 05:43:59","2019-06-21 05:43:59"
104,"Mrcrossiant","水肺潜水运动真的非常不可思议。这里的水很清澈。有一点点的水流，但是体验超级好。如果在冲绳潜水，这里是必潜之地。这个景点离温泉大约有二十米，在夏天的体验更加不错。这里还有很多的海洋生物和洞穴，都非常令人惊叹。","Hongkong","omotenashi",35,"2019-06-21 05:45:00","2019-06-21 05:45:00"
105,"AnneW113","PACKED WITH SNORKELERS AND DIVERS! 

Avoid peak season! You could see all the fins above you when you dived inside. 
Its not a big cave anyway!","Australia","bad",35,"2019-06-21 05:48:22","2019-06-21 05:48:22"
106,"Catherine4290","I am lucky enough to travel quite a bit and I must say that the aquarium in Okinawa is the best that I have ever seen! 
From the moment you arrive there are several parking attendants that help you find the next available spot and take the stress out of parking in a very busy garage. There are elevators along with stairs on every floor of the parking garage and it opens onto a short walk to the entrance of the aquarium. 

The entrance to the aquarium is very clearly marked and your journey begins by stopping at the main entrance to take a photo next to a very cute sign that has the date displayed with a beautiful background that overlooks the ocean.

The main tank at this aquarium is massive and absolutely awe inspiring with several species of fish along with two giant whale sharks! The tank is clean and clear and gives you many opportunities for some fantastic photos.

There are several spots to either grab a quick bite to eat or to sit down and enjoy a casual lunch inside the aquarium. We chose to eat at the main restaurant that is directly beside the aquarium which offers a fantastic close-up view while you enjoy your lunch. Please keep in mind that if you want to sit directly beside the tank, that you will need to make a reservation when you arrive.

This aquarium offers so many opportunities to get up close to their animals and you can clearly see that they are happy and healthy and very well cared for. The turtles were my favorite and the manatee exhibit was also excellent. 

If you have the opportunity to visit Okinawa and can only do one activity, then I absolutely recommend that you spend your day at the aquarium!","America","omotenashi",33,"2019-06-21 05:50:07","2019-06-21 05:50:07"
107,"Jo","I arrived the aquarium after 17:00 and we got discount for evening admission! The aquarium is big and there are lot of interesting ocean creatures! I love it ! Worth to come if you are traveling to Okinawa.","England","good",33,"2019-06-21 05:54:03","2019-06-21 05:54:03"
108,"テストたまこ","ジンベエザメ〜〜〜でか〜〜〜","Japan","good",33,"2019-06-21 05:55:02","2019-06-21 05:55:02"
